,director,films_count,popularity
893,Jim Gillespie,2,20.162125
978,John R. Leonetti,2,36.070804
734,Henry Selick,2,29.622208
1220,Lynne Ramsay,2,11.892388
901,Jimmy Hayward,2,18.498125
1627,Richard Eyre,2,7.645212
981,John Sayles,2,3.0766605
1012,Jonas Åkerlund,2,5.6750015000000005
758,Irvin Kershner,2,50.9492935
1058,Julian Gilbey,2,9.004995000000001
1102,Ken Scott,2,23.4733475
1342,Michael Lembeck,2,10.3747735
1410,Morten Tyldum,2,83.09321849999999
1394,Mike Tollin,2,6.6073725
779,Jacques Perrin,2,7.228676500000001
775,Jack Smight,2,2.577117
878,Jerry Jameson,2,4.1797115
1168,Lee Toland Krieger,2,45.74424350000001
1053,José Padilha,2,45.1814025
1054,Juan Antonio Bayona,2,38.3159415
1056,Juan José Campanella,2,20.380208000000003
769,J.C. Chandor,2,31.944349
768,J.B. Rogers,2,19.670972
767,J. Lee Thompson,2,16.072033
1214,Luis Llosa,2,22.133744
1105,Kenneth Lonergan,2,6.020436
883,Jesse Peretz,2,8.031365000000001
761,Isabel Coixet,2,9.266010999999999
858,Jeannot Szwarc,2,12.785029999999999
1043,Joseph Zito,2,9.102739
643,Gaspar Noé,2,26.437824
319,Christopher Cain,2,6.5730865000000005
323,Christopher McQuarrie,2,85.69531800000001
326,Christopher Smith,2,19.197955
1883,Susanna White,2,17.191507
331,Clare Kilner,2,6.6969405
334,Clark Johnson,2,24.70253
1879,Stuart Gordon,2,5.7559355
1878,Stuart Gillard,2,6.5324565
1876,Stuart Baird,2,19.418604000000002
343,Colin Strause,2,32.825061
344,Colin Trevorrow,2,111.7791985
1871,Steven Zaillian,2,8.957772
350,Costa-Gavras,2,4.622268500000001
1868,Steven Shainberg,2,11.732770000000002
352,Courtney Solomon,2,11.9784155
353,Craig Brewer,2,8.912318500000001
1887,Sylvain White,2,15.912733999999999
1888,Sylvester Stallone,2,54.01295899999999
357,Craig Moss,2,3.6827155
1893,Takashi Shimizu,2,24.801192999999998
1913,Terry Zwigoff,2,20.3308355
281,Charles Stone III,2,3.7999125000000005
284,Charlie Kaufman,2,16.892761
1907,Teddy Chan,2,7.386374500000001
1906,Ted Post,2,18.0751195
292,Chris Kentis,2,13.6390885
293,Chris Koch,2,6.780562
294,Chris Miller,2,31.832627
297,Chris Noonan,2,21.376441
1901,Tate Taylor,2,27.627886500000002
306,Chris Williams,2,120.1091365
307,Christian Alvart,2,26.1357495
1897,Tamra Davis,2,7.298904
1896,Tamara Jenkins,2,5.986093500000001
310,Christian Duguay,2,5.372078
356,Craig Mazin,2,14.072050999999998
358,Craig R. Baxley,2,5.2478929999999995
1780,Sean McNamara,2,15.070886
1824,Stanley Kramer,2,13.950765
1812,Simon Curtis,2,21.105503499999998
444,David Leland,2,4.019507
447,David Mamet,2,4.091165
448,David McNally,2,18.545337
457,David Raynr,2,4.13009
1800,Sheldon Lettich,2,7.9479425
459,David S. Goyer,2,32.724419499999996
461,David Schwimmer,2,18.068047
1792,Shane Black,2,55.186059
1789,Seth Rogen,2,56.192548000000016
480,Deborah Kaplan,2,8.8774765
482,Deepa Mehta,2,2.0171289999999997
1783,Sergei Bodrov,2,36.8866795
491,Denzel Washington,2,12.095296000000001
1781,Sean Penn,2,28.070207
434,David Hackl,2,21.508496
1828,Stefan Ruzowitzky,2,7.608174
1865,Steven Quale,2,29.561017999999997
411,Dave Green,2,28.622558999999995
363,Cédric Klapisch,2,7.2224945
368,Daisy von Scherler Mayer,2,2.921671
